Filename	QueryName	QueryGC	QueryStart	QueryBasesCovered	QueryStrand	QueryLength	HitName	HitStart	HitBasesCovered	HitStrand	HitLength	AlignmentSize	IdenticalBases	AlignmentPercentIdentity	QueryPercentIdentity	LongestPerfectKmer	MeanPerfectKmer	PercentQueryAligned	nk15	nk17	nk19	nk21	nk23	nk25
N79596_dh10b_8kb_11022015_0627_1_ch162_file45_strand.fast5_BaseCalled_Complement.fasta.maf	ch162_file45	50.80	194	5894	+	6112	gi|170079663|ref|NC_010473.1|	3786984	6104	+	4686137	6515	4514	69.29	73.85	28	3.89	96.43	33	25	17	12	7	3
N79596_dh10b_8kb_11022015_0627_1_ch493_file9_strand.fast5_BaseCalled_Complement.fasta.maf	ch493_file9	49.23	235	3477	+	3762	gi|170079663|ref|NC_010473.1|	1057518	3652	+	4686137	3887	2624	67.51	69.75	23	3.52	92.42	13	9	5	4	1	0
N79596_dh10b_8kb_11022015_0627_1_ch110_file173_strand.fast5_BaseCalled_Complement.fasta.maf	ch110_file173	48.30	118	1185	+	1327	gi|170079663|ref|NC_010473.1|	3148467	1296	+	4686137	1367	941	68.84	70.91	21	3.68	89.30	6	4	1	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch223_file50_strand.fast5_BaseCalled_Complement.fasta.maf	ch223_file50	49.70	44	5183	+	5252	gi|170079663|ref|NC_010473.1|	115129	5477	+	4686137	5783	3869	66.90	73.67	20	3.43	98.69	14	7	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch296_file33_strand.fast5_BaseCalled_Complement.fasta.maf	ch296_file33	49.50	144	5968	+	6135	gi|170079663|ref|NC_010473.1|	1117603	5967	+	4686137	6512	4525	69.49	73.76	28	4.03	97.28	28	19	11	9	7	5
N79596_dh10b_8kb_11022015_0627_1_ch374_file36_strand.fast5_BaseCalled_Complement.fasta.maf	ch374_file36	47.34	59	1035	+	1126	gi|170079663|ref|NC_010473.1|	2585152	1053	+	4686137	1135	796	70.13	70.69	19	4.10	91.92	6	4	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch354_file31_strand.fast5_BaseCalled_Complement.fasta.maf	ch354_file31	51.51	123	3496	+	3640	gi|170079663|ref|NC_010473.1|	2914000	3613	+	4686137	3843	2638	68.64	72.47	30	3.65	96.04	11	9	7	4	3	2
N79596_dh10b_8kb_11022015_0627_1_ch243_file36_strand.fast5_BaseCalled_Complement.fasta.maf	ch243_file36	49.67	1518	4166	+	5738	gi|170079663|ref|NC_010473.1|	3296855	5187	+	4686137	4785	3188	66.62	55.56	35	3.45	72.60	12	9	5	4	4	3
N79596_dh10b_8kb_11022015_0627_1_ch20_file78_strand.fast5_BaseCalled_Complement.fasta.maf	ch20_file78	51.78	187	4284	+	4525	gi|170079663|ref|NC_010473.1|	3290884	4912	+	4686137	5060	3307	65.36	73.08	29	3.37	94.67	6	2	2	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch251_file28_strand.fast5_BaseCalled_Complement.fasta.maf	ch251_file28	49.84	51	2782	+	2875	gi|170079663|ref|NC_010473.1|	2787573	2949	+	4686137	3101	1951	62.92	67.86	21	2.84	96.77	4	4	2	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch327_file6_strand.fast5_BaseCalled_Complement.fasta.maf	ch327_file6	49.59	59	909	+	1226	gi|170079663|ref|NC_010473.1|	172191	964	+	4686137	1009	701	69.47	57.18	22	3.71	74.14	7	3	1	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch361_file8_strand.fast5_BaseCalled_Complement.fasta.maf	ch361_file8	49.55	86	5555	+	5651	gi|170079663|ref|NC_010473.1|	200486	6071	+	4686137	6341	4408	69.52	78.00	26	3.91	98.30	28	24	15	5	3	2
N79596_dh10b_8kb_11022015_0627_1_ch133_file53_strand.fast5_BaseCalled_Complement.fasta.maf	ch133_file53	50.43	162	2560	+	2776	gi|170079663|ref|NC_010473.1|	1755465	2723	+	4686137	2849	1922	67.46	69.24	25	3.48	92.22	9	2	2	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch468_file5_strand.fast5_BaseCalled_Complement.fasta.maf	ch468_file5	50.20	115	6491	+	6663	gi|170079663|ref|NC_010473.1|	2151561	7023	+	4686137	7364	4775	64.84	71.66	30	3.10	97.42	21	15	9	7	3	3
N79596_dh10b_8kb_11022015_0627_1_ch466_file127_strand.fast5_BaseCalled_Complement.fasta.maf	ch466_file127	47.89	990	6466	+	7571	gi|170079663|ref|NC_010473.1|	1586067	7190	+	4686137	7443	5060	67.98	66.83	26	3.62	85.40	30	19	12	6	5	4
N79596_dh10b_8kb_11022015_0627_1_ch202_file142_strand.fast5_BaseCalled_Complement.fasta.maf	ch202_file142	52.19	74	5332	+	5419	gi|170079663|ref|NC_010473.1|	3335492	5460	+	4686137	5901	4040	68.46	74.55	27	3.74	98.39	27	14	8	6	4	2
N79596_dh10b_8kb_11022015_0627_1_ch214_file130_strand.fast5_BaseCalled_Complement.fasta.maf	ch214_file130	50.41	59	6336	+	6427	gi|170079663|ref|NC_010473.1|	1164775	6709	+	4686137	7112	4620	64.96	71.88	23	3.13	98.58	12	9	6	2	1	0
N79596_dh10b_8kb_11022015_0627_1_ch441_file28_strand.fast5_BaseCalled_Complement.fasta.maf	ch441_file28	52.35	149	1671	+	1918	gi|170079663|ref|NC_010473.1|	302935	1792	+	4686137	1874	1287	68.68	67.10	25	3.80	87.12	9	6	4	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch458_file160_strand.fast5_BaseCalled_Complement.fasta.maf	ch458_file160	50.93	31	5318	+	5433	gi|170079663|ref|NC_010473.1|	2294570	5546	+	4686137	5927	4020	67.83	73.99	26	3.65	97.88	25	13	7	3	3	1
N79596_dh10b_8kb_11022015_0627_1_ch248_file81_strand.fast5_BaseCalled_Complement.fasta.maf	ch248_file81	51.40	30	2544	+	2636	gi|170079663|ref|NC_010473.1|	4240328	2640	+	4686137	2795	2061	73.74	78.19	32	4.61	96.51	24	15	11	8	4	2
N79596_dh10b_8kb_11022015_0627_1_ch211_file29_strand.fast5_BaseCalled_Complement.fasta.maf	ch211_file29	49.93	93	3843	+	4040	gi|170079663|ref|NC_010473.1|	3420607	4079	+	4686137	4276	2997	70.09	74.18	24	3.86	95.12	11	7	6	3	1	0
N79596_dh10b_8kb_11022015_0627_1_ch189_file3_strand.fast5_BaseCalled_Complement.fasta.maf	ch189_file3	52.23	16	970	+	1011	gi|170079663|ref|NC_010473.1|	895432	1041	+	4686137	1087	769	70.75	76.06	25	3.92	95.94	6	2	1	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch290_file73_strand.fast5_BaseCalled_Complement.fasta.maf	ch290_file73	50.05	521	1360	+	1920	gi|170079663|ref|NC_010473.1|	885704	1641	+	4686137	1672	1146	68.54	59.69	17	3.94	70.83	3	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch281_file8_strand.fast5_BaseCalled_Complement.fasta.maf	ch281_file8	49.95	28	5446	+	6106	gi|170079663|ref|NC_010473.1|	932284	5639	+	4686137	6145	3969	64.59	65.00	26	3.25	89.19	6	5	3	2	1	1
N79596_dh10b_8kb_11022015_0627_1_ch423_file16_strand.fast5_BaseCalled_Complement.fasta.maf	ch423_file16	50.77	57	1382	+	1503	gi|170079663|ref|NC_010473.1|	4136707	1567	+	4686137	1627	1096	67.36	72.92	19	3.63	91.95	6	3	2	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch276_file133_strand.fast5_BaseCalled_Complement.fasta.maf	ch276_file133	48.56	451	6032	+	6547	gi|170079663|ref|NC_010473.1|	1257703	6349	+	4686137	6762	4538	67.11	69.31	27	3.62	92.13	20	7	5	4	3	2
N79596_dh10b_8kb_11022015_0627_1_ch214_file143_strand.fast5_BaseCalled_Complement.fasta.maf	ch214_file143	50.05	36	3824	+	3950	gi|170079663|ref|NC_010473.1|	1893976	4137	+	4686137	4331	2867	66.20	72.58	31	3.28	96.81	8	5	2	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch25_file571_strand.fast5_BaseCalled_Complement.fasta.maf	ch25_file571	49.21	1	1077	+	1136	gi|170079663|ref|NC_010473.1|	90466	1261	+	4686137	1305	835	63.98	73.50	20	3.13	94.81	1	1	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch1_file119_strand.fast5_BaseCalled_Complement.fasta.maf	ch1_file119	52.41	113	1066	+	1204	gi|170079663|ref|NC_010473.1|	3374847	1095	+	4686137	1189	757	63.67	62.87	21	2.96	88.54	2	2	1	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch468_file28_strand.fast5_BaseCalled_Complement.fasta.maf	ch468_file28	51.56	83	5031	+	5171	gi|170079663|ref|NC_010473.1|	3664149	5297	+	4686137	5661	3769	66.58	72.89	25	3.34	97.29	17	8	5	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch407_file35_strand.fast5_BaseCalled_Complement.fasta.maf	ch407_file35	52.06	21	5355	+	5476	gi|170079663|ref|NC_010473.1|	2777421	5392	+	4686137	5816	4067	69.93	74.27	43	3.94	97.79	24	14	6	4	3	2
N79596_dh10b_8kb_11022015_0627_1_ch362_file10_strand.fast5_BaseCalled_Complement.fasta.maf	ch362_file10	51.20	22	1763	+	1961	gi|170079663|ref|NC_010473.1|	2741111	1898	+	4686137	1994	1350	67.70	68.84	17	3.50	89.90	7	2	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch294_file30_strand.fast5_BaseCalled_Complement.fasta.maf	ch294_file30	46.50	109	3860	+	4000	gi|170079663|ref|NC_010473.1|	3813816	3935	+	4686137	4206	2876	68.38	71.90	23	3.56	96.50	21	13	5	5	1	0
N79596_dh10b_8kb_11022015_0627_1_ch214_file40_strand.fast5_BaseCalled_Complement.fasta.maf	ch214_file40	50.35	62	3641	+	3974	gi|170079663|ref|NC_010473.1|	218931	3867	+	4686137	4102	2710	66.07	68.19	26	3.32	91.62	16	10	6	3	3	1
N79596_dh10b_8kb_11022015_0627_1_ch249_file23_strand.fast5_BaseCalled_Complement.fasta.maf	ch249_file23	53.29	1	5277	+	5282	gi|170079663|ref|NC_010473.1|	661645	5832	+	4686137	6078	4075	67.05	77.15	20	3.51	99.91	16	10	6	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch294_file1_strand.fast5_BaseCalled_Complement.fasta.maf	ch294_file1	52.09	43	1655	+	1720	gi|170079663|ref|NC_010473.1|	710232	1725	+	4686137	1828	1315	71.94	76.45	22	4.31	96.22	8	7	5	2	0	0
N79596_dh10b_8kb_11022015_0627_1_ch408_file15_strand.fast5_BaseCalled_Complement.fasta.maf	ch408_file15	52.38	29	1781	+	1871	gi|170079663|ref|NC_010473.1|	2890709	1788	+	4686137	1962	1328	67.69	70.98	21	3.61	95.19	8	4	2	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch452_file7_strand.fast5_BaseCalled_Complement.fasta.maf	ch452_file7	51.74	48	1888	+	2016	gi|170079663|ref|NC_010473.1|	1170203	2094	+	4686137	2160	1472	68.15	73.02	32	3.57	93.65	10	6	5	4	2	2
N79596_dh10b_8kb_11022015_0627_1_ch14_file4_strand.fast5_BaseCalled_Complement.fasta.maf	ch14_file4	47.62	497	2400	+	2957	gi|170079663|ref|NC_010473.1|	1732897	2746	+	4686137	2826	1868	66.10	63.17	33	3.29	81.16	8	4	3	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch327_file106_strand.fast5_BaseCalled_Complement.fasta.maf	ch327_file106	52.06	122	4566	+	4802	gi|170079663|ref|NC_010473.1|	2588952	5147	+	4686137	5305	3535	66.64	73.62	34	3.34	95.09	11	6	6	5	3	2
N79596_dh10b_8kb_11022015_0627_1_ch177_file2_strand.fast5_BaseCalled_Complement.fasta.maf	ch177_file2	48.39	69	3494	+	3600	gi|170079663|ref|NC_010473.1|	4592920	3892	+	4686137	4025	2805	69.69	77.92	29	3.88	97.06	13	9	5	3	2	1
N79596_dh10b_8kb_11022015_0627_1_ch466_file109_strand.fast5_BaseCalled_Complement.fasta.maf	ch466_file109	47.96	39	6322	+	6380	gi|170079663|ref|NC_010473.1|	1781605	7312	+	4686137	7539	5075	67.32	79.55	25	3.67	99.09	27	13	7	3	2	1
N79596_dh10b_8kb_11022015_0627_1_ch294_file4_strand.fast5_BaseCalled_Complement.fasta.maf	ch294_file4	52.31	42	8471	+	8585	gi|170079663|ref|NC_010473.1|	3697557	8336	+	4686137	9108	6350	69.72	73.97	27	4.01	98.67	48	34	17	11	6	4
N79596_dh10b_8kb_11022015_0627_1_ch16_file11_strand.fast5_BaseCalled_Complement.fasta.maf	ch16_file11	50.32	56	4970	+	5044	gi|170079663|ref|NC_010473.1|	3193653	5353	+	4686137	5680	3818	67.22	75.69	30	3.70	98.53	17	8	6	4	1	1
N79596_dh10b_8kb_11022015_0627_1_ch504_file44_strand.fast5_BaseCalled_Complement.fasta.maf	ch504_file44	50.32	29	1839	+	1884	gi|170079663|ref|NC_010473.1|	1933186	1979	+	4686137	2051	1451	70.75	77.02	26	3.96	97.61	10	6	4	4	1	1
N79596_dh10b_8kb_11022015_0627_1_ch72_file74_strand.fast5_BaseCalled_Complement.fasta.maf	ch72_file74	46.70	43	830	+	895	gi|170079663|ref|NC_010473.1|	2626522	905	+	4686137	944	687	72.78	76.76	25	4.98	92.74	8	6	3	2	2	2
N79596_dh10b_8kb_11022015_0627_1_ch149_file87_strand.fast5_BaseCalled_Complement.fasta.maf	ch149_file87	49.42	83	832	+	955	gi|170079663|ref|NC_010473.1|	1727749	807	+	4686137	881	617	70.03	64.61	17	4.01	87.12	2	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch284_file3_strand.fast5_BaseCalled_Complement.fasta.maf	ch284_file3	51.67	19	5299	+	5371	gi|170079663|ref|NC_010473.1|	362301	5456	+	4686137	5808	4074	70.14	75.85	40	3.98	98.66	38	21	14	8	6	3
N79596_dh10b_8kb_11022015_0627_1_ch25_file29_strand.fast5_BaseCalled_Complement.fasta.maf	ch25_file29	50.56	64	794	+	900	gi|170079663|ref|NC_010473.1|	3556332	833	+	4686137	874	592	67.73	65.78	18	3.61	88.22	2	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch133_file64_strand.fast5_BaseCalled_Complement.fasta.maf	ch133_file64	49.90	28	4493	+	4575	gi|170079663|ref|NC_010473.1|	3075376	5003	+	4686137	5249	3231	61.55	70.62	15	2.80	98.21	1	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch25_file16_strand.fast5_BaseCalled_Complement.fasta.maf	ch25_file16	50.90	99	1279	+	1505	gi|170079663|ref|NC_010473.1|	3346631	1264	+	4686137	1380	957	69.35	63.59	23	3.67	84.98	7	1	1	1	1	0
N79596_dh10b_8kb_11022015_0627_1_ch53_file4_strand.fast5_BaseCalled_Complement.fasta.maf	ch53_file4	50.66	369	4690	+	5065	gi|170079663|ref|NC_010473.1|	108176	4874	+	4686137	5174	3631	70.18	71.69	37	3.90	92.60	13	8	7	5	4	4
N79596_dh10b_8kb_11022015_0627_1_ch9_file40_strand.fast5_BaseCalled_Complement.fasta.maf	ch9_file40	51.36	27	1423	+	1548	gi|170079663|ref|NC_010473.1|	3827284	1408	+	4686137	1559	1022	65.55	66.02	17	3.35	91.93	3	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch314_file184_strand.fast5_BaseCalled_Complement.fasta.maf	ch314_file184	49.18	51	782	+	856	gi|170079663|ref|NC_010473.1|	4409095	824	+	4686137	865	617	71.33	72.08	17	4.11	91.36	5	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch26_file75_strand.fast5_BaseCalled_Complement.fasta.maf	ch26_file75	52.06	308	3856	+	4189	gi|170079663|ref|NC_010473.1|	3975610	4154	+	4686137	4369	2896	66.29	69.13	24	3.35	92.05	11	6	4	2	1	0
N79596_dh10b_8kb_11022015_0627_1_ch375_file17_strand.fast5_BaseCalled_Complement.fasta.maf	ch375_file17	51.79	58	5790	+	6017	gi|170079663|ref|NC_010473.1|	1362717	6252	+	4686137	6534	4511	69.04	74.97	28	3.79	96.23	30	18	9	4	3	2
N79596_dh10b_8kb_11022015_0627_1_ch224_file43_strand.fast5_BaseCalled_Complement.fasta.maf	ch224_file43	48.72	43	8294	+	8371	gi|170079663|ref|NC_010473.1|	1906558	9008	+	4686137	9384	6553	69.83	78.28	26	3.84	99.08	37	22	13	9	8	3
N79596_dh10b_8kb_11022015_0627_1_ch161_file152_strand.fast5_BaseCalled_Complement.fasta.maf	ch161_file152	50.87	83	856	+	973	gi|170079663|ref|NC_010473.1|	1023098	880	+	4686137	941	648	68.86	66.60	26	3.81	87.98	6	4	1	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch161_file87_strand.fast5_BaseCalled_Complement.fasta.maf	ch161_file87	52.75	18	807	+	836	gi|170079663|ref|NC_010473.1|	3779156	867	+	4686137	903	641	70.99	76.67	20	4.03	96.53	3	2	2	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch133_file36_strand.fast5_BaseCalled_Complement.fasta.maf	ch133_file36	49.38	700	4562	+	5336	gi|170079663|ref|NC_010473.1|	441873	4785	+	4686137	5078	3366	66.29	63.08	20	3.41	85.49	11	5	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch243_file84_strand.fast5_BaseCalled_Complement.fasta.maf	ch243_file84	52.16	94	3490	+	3604	gi|170079663|ref|NC_010473.1|	4191163	3887	+	4686137	4071	2709	66.54	75.17	29	3.49	96.84	7	4	2	2	2	2
N79596_dh10b_8kb_11022015_0627_1_ch483_file9_strand.fast5_BaseCalled_Complement.fasta.maf	ch483_file9	51.01	117	444	+	592	gi|170079663|ref|NC_010473.1|	3374626	488	+	4686137	509	366	71.91	61.82	19	3.89	75.00	4	2	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch328_file5_strand.fast5_BaseCalled_Complement.fasta.maf	ch328_file5	47.44	54	1206	+	1311	gi|170079663|ref|NC_010473.1|	1736340	1342	+	4686137	1382	957	69.25	73.00	19	3.75	91.99	5	1	1	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch351_file12_strand.fast5_BaseCalled_Complement.fasta.maf	ch351_file12	53.17	12	1172	+	1245	gi|170079663|ref|NC_010473.1|	3843814	1422	+	4686137	1444	939	65.03	75.42	18	3.33	94.14	4	2	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch302_file45_strand.fast5_BaseCalled_Complement.fasta.maf	ch302_file45	52.51	272	5155	+	5428	gi|170079663|ref|NC_010473.1|	3127750	6130	+	4686137	6366	4040	63.46	74.43	26	3.31	94.97	16	10	6	2	2	1
N79596_dh10b_8kb_11022015_0627_1_ch178_file15_strand.fast5_BaseCalled_Complement.fasta.maf	ch178_file15	47.57	182	1505	+	1749	gi|170079663|ref|NC_010473.1|	1620305	1683	+	4686137	1740	1214	69.77	69.41	24	3.85	86.05	6	3	1	1	1	0
N79596_dh10b_8kb_11022015_0627_1_ch455_file74_strand.fast5_BaseCalled_Complement.fasta.maf	ch455_file74	50.37	36	1571	+	1636	gi|170079663|ref|NC_010473.1|	3074370	1606	+	4686137	1728	1163	67.30	71.09	24	3.49	96.03	5	5	3	2	1	0
N79596_dh10b_8kb_11022015_0627_1_ch254_file1_strand.fast5_BaseCalled_Complement.fasta.maf	ch254_file1	51.77	76	796	+	902	gi|170079663|ref|NC_010473.1|	3855486	979	+	4686137	997	670	67.20	74.28	35	4.06	88.25	4	2	2	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch292_file25_strand.fast5_BaseCalled_Complement.fasta.maf	ch292_file25	53.23	108	4488	+	4670	gi|170079663|ref|NC_010473.1|	2304314	4504	+	4686137	4906	3312	67.51	70.92	22	3.44	96.10	10	4	3	2	0	0
N79596_dh10b_8kb_11022015_0627_1_ch206_file5_strand.fast5_BaseCalled_Complement.fasta.maf	ch206_file5	52.43	41	2336	+	2493	gi|170079663|ref|NC_010473.1|	4568172	2474	+	4686137	2651	1675	63.18	67.19	18	2.89	93.70	2	1	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch504_file17_strand.fast5_BaseCalled_Complement.fasta.maf	ch504_file17	51.99	61	1300	+	1379	gi|170079663|ref|NC_010473.1|	3374857	1249	+	4686137	1402	935	66.69	67.80	29	3.60	94.27	7	5	4	4	2	1
N79596_dh10b_8kb_11022015_0627_1_ch306_file123_strand.fast5_BaseCalled_Complement.fasta.maf	ch306_file123	49.97	55	4433	+	4547	gi|170079663|ref|NC_010473.1|	2322616	4560	+	4686137	4898	3360	68.60	73.89	24	3.70	97.49	13	7	3	2	1	0
N79596_dh10b_8kb_11022015_0627_1_ch411_file19_strand.fast5_BaseCalled_Complement.fasta.maf	ch411_file19	50.65	174	2097	+	2302	gi|170079663|ref|NC_010473.1|	512198	2059	+	4686137	2269	1503	66.24	65.29	21	3.47	91.09	11	6	4	1	0	0
N79596_dh10b_8kb_11022015_0627_1_ch196_file4_strand.fast5_BaseCalled_Complement.fasta.maf	ch196_file4	52.60	5	633	+	732	gi|170079663|ref|NC_010473.1|	2348557	725	+	4686137	751	487	64.85	66.53	15	3.41	86.48	1	0	0	0	0	0
N79596_dh10b_8kb_11022015_0627_1_ch336_file55_strand.fast5_BaseCalled_Complement.fasta.maf	ch336_file55	48.58	23	1022	+	1095	gi|170079663|ref|NC_010473.1|	392454	1098	+	4686137	1159	810	69.89	73.97	28	3.86	93.33	5	1	1	1	1	1
N79596_dh10b_8kb_11022015_0627_1_ch211_file38_strand.fast5_BaseCalled_Complement.fasta.maf	ch211_file38	50.54	44	1272	+	1395	gi|170079663|ref|NC_010473.1|	619358	1307	+	4686137	1403	970	69.14	69.53	27	3.90	91.18	9	5	4	3	1	1
